No Induk;Nama Lengkap;Password;Tempat Lahir;Tgl Lahir
7897897;Fahmi Pamungkas;test;Sukabumi;16/05/1996
7897898;Fahmi Pamungkas;test;Sukabumi;17/05/1996
7897899;Fahmi Pamungkas;test;Sukabumi;18/05/1996
7897900;Fahmi Pamungkas;test;Sukabumi;19/05/1996
7897901;Fahmi Pamungkas;test;Sukabumi;20/05/1996
7897902;Fahmi Pamungkas;test;Sukabumi;21/05/1996
7897903;Fahmi Pamungkas;test;Sukabumi;22/05/1996
7897904;Fahmi Pamungkas;test;Sukabumi;23/05/1996
7897905;Fahmi Pamungkas;test;Sukabumi;24/05/1996
7897906;Fahmi Pamungkas;test;Sukabumi;25/05/1996
